               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.017718,            0.011898,           0.0034193,             0.71184,             0.60052,             0.63704,             0.38278,            0.049531,            0.011186,            0.052087,           0.0086536,           0.0086536,           0.0086536
                  70,            0.017238,            0.011569,           0.0032951,             0.79404,             0.59212,             0.61336,             0.35019,            0.053323,            0.011583,            0.052032,           0.0086338,           0.0086338,           0.0086338
                  71,             0.01733,            0.011813,            0.003318,             0.81407,             0.61387,             0.66053,             0.38767,            0.050489,            0.011433,            0.046592,            0.008614,            0.008614,            0.008614
                  72,            0.017301,            0.011751,           0.0030686,              0.8025,             0.59667,             0.65106,             0.38858,             0.05255,            0.011815,            0.047292,           0.0085942,           0.0085942,           0.0085942
                  73,            0.017623,            0.012232,           0.0031031,             0.85537,             0.57384,              0.6429,             0.38731,            0.053449,            0.011588,             0.04988,           0.0085744,           0.0085744,           0.0085744
                  74,            0.017177,            0.011758,           0.0025803,             0.74098,             0.63734,             0.65779,             0.39319,            0.053575,            0.010743,            0.051116,           0.0085546,           0.0085546,           0.0085546
                  75,            0.017116,             0.01137,           0.0029202,             0.81589,             0.58775,             0.63209,             0.37627,            0.054297,            0.010689,            0.049024,           0.0085348,           0.0085348,           0.0085348
                  76,            0.017999,            0.011847,            0.002981,             0.74974,             0.61254,             0.64541,             0.38874,            0.053575,            0.010861,            0.044968,            0.008515,            0.008515,            0.008515
                  77,            0.017214,            0.011901,           0.0027027,             0.80295,             0.61781,             0.68637,             0.41558,            0.050648,            0.011108,            0.044201,           0.0084952,           0.0084952,           0.0084952
                  78,            0.016987,            0.011708,           0.0024516,             0.81869,             0.58998,             0.64037,             0.38737,            0.054542,            0.010627,            0.051178,           0.0084754,           0.0084754,           0.0084754
                  79,            0.017091,            0.011404,           0.0023294,             0.84109,             0.57189,             0.63692,             0.41002,             0.05523,            0.010395,            0.048605,           0.0084556,           0.0084556,           0.0084556
                  80,            0.016726,            0.011283,           0.0027555,             0.85076,             0.63988,             0.68883,             0.41606,            0.053814,            0.011682,            0.040559,           0.0084358,           0.0084358,           0.0084358
                  81,            0.017212,            0.011624,           0.0026055,             0.75191,             0.55999,             0.63172,             0.36972,             0.05322,            0.011869,            0.044007,            0.008416,            0.008416,            0.008416
                  82,            0.017134,            0.011415,           0.0026036,             0.68811,             0.59705,             0.60436,             0.36421,            0.053803,             0.01234,            0.040139,           0.0083962,           0.0083962,           0.0083962
                  83,            0.017133,             0.01149,            0.002434,             0.68904,             0.63529,             0.65086,             0.40742,            0.050623,            0.011763,            0.038354,           0.0083764,           0.0083764,           0.0083764
                  84,            0.016678,            0.011246,           0.0025398,             0.78396,             0.63054,             0.68674,             0.40085,             0.05289,             0.01076,            0.042666,           0.0083566,           0.0083566,           0.0083566
                  85,            0.016728,            0.011356,           0.0028008,             0.76692,             0.64881,             0.67334,             0.39814,            0.049259,            0.010332,            0.048232,           0.0083368,           0.0083368,           0.0083368
